address,beds,baths,area,price,zestimate,best_deal,price per sq ft,detailUrl
"433 W Sharon Ln, Midway, UT 84049",4,3.0,4408,"$1,479,005",0,1479005,335.5274500907441,https://www.zillow.com/homedetails/433-W-Sharon-Ln-Midway-UT-84049/2061021048_zpid/
"143 White Pine Canyon Rd, Park City, UT 84060",7,10.0,11170,"$19,500,000",18015484,1484516,1745.7475380483438,https://www.zillow.com/homedetails/143-White-Pine-Canyon-Rd-Park-City-UT-84060/111974106_zpid/
"5712 W Woodland Dr #18, Morgan, UT 84050",5,5.0,5500,"$1,495,000",0,1495000,271.8181818181818,https://www.zillow.com/homedetails/5712-W-Woodland-Dr-18-Morgan-UT-84050/2061220837_zpid/
"1968 Reservoir View Dr, Kamas, UT 84036",,0.0,1,"$1,600,000",0,1600000,1600000.0,https://www.zillow.com/homedetails/1968-Reservoir-View-Dr-Kamas-UT-84036/2067756383_zpid/
"8847 Northcove Dr, Park City, UT 84098",5,4.0,3500,"$1,690,000",0,1690000,482.85714285714283,https://www.zillow.com/homedetails/8847-Northcove-Dr-Park-City-UT-84098/2077112551_zpid/
"5237 Hillsden Dr, Salt Lake City, UT 84117",4,3.0,4036,"$1,700,000",0,1700000,421.20911793855305,https://www.zillow.com/homedetails/5237-Hillsden-Dr-Salt-Lake-City-UT-84117/2061018283_zpid/
"11 Red Cloud Trl, Park City, UT 84060",5,11.0,15000,"$33,500,000",31736842,1763158,2233.3333333333335,https://www.zillow.com/homedetails/11-Red-Cloud-Trl-Park-City-UT-84060/97303635_zpid/
"920 S Cascade Ct, Midway, UT 84049",6,5.0,7355,"$1,799,000",0,1799000,244.59551325628823,https://www.zillow.com/homedetails/920-S-Cascade-Ct-Midway-UT-84049/2111428626_zpid/
"850 N 300 E, Nephi, UT 84648",3,2.0,800,"$1,800,000",0,1800000,2250.0,https://www.zillow.com/homedetails/850-N-300-E-Nephi-UT-84648/2069811084_zpid/
"559 W Dally Dr #11, Alpine, UT 84004",6,4.0,8925,"$2,000,000",0,2000000,224.08963585434174,https://www.zillow.com/homedetails/559-W-Dally-Dr-11-Alpine-UT-84004/2069423674_zpid/
"6256 Deer Valley Loop, Park City, UT 84060",2,3.0,1880,"$2,050,000",0,2050000,1090.4255319148936,https://www.zillow.com/homedetails/6256-Deer-Valley-Loop-Park-City-UT-84060/2076787893_zpid/
"1524 E Bountiful Blvd, Bountiful, UT 84010",5,7.0,7883,"$3,195,000",0,3195000,405.30254979068883,https://www.zillow.com/homedetails/1524-E-Bountiful-Blvd-Bountiful-UT-84010/2061705722_zpid/
"1465 S 200 W, Midway, UT 84049",7,6.0,6488,"$3,199,999",0,3199999,493.2180949445129,https://www.zillow.com/homedetails/1465-S-200-W-Midway-UT-84049/227705600_zpid/
"262 N 350 W, Vineyard, UT 84059",9,8.0,9901,"$3,950,000",0,3950000,398.94960105039894,https://www.zillow.com/homedetails/262-N-350-W-Vineyard-UT-84059/333091641_zpid/
"106 N Legacy Way, Heber City, UT 84032",8,12.0,0,"$4,175,000",0,4175000,inf,https://www.zillow.com/homedetails/106-N-Legacy-Way-Heber-City-UT-84032/2065524055_zpid/
"7687 N Promontory Ranch Rd, Park City, UT 84098",6,7.0,8915,"$9,200,000",0,9200000,1031.9685922602355,https://www.zillow.com/homedetails/7687-N-Promontory-Ranch-Rd-Park-City-UT-84098/111975995_zpid/
"2987 W Jordanelle View Dr, Park City, UT 84060",7,11.0,11376,"$11,995,000",0,11995000,1054.4127988748241,https://www.zillow.com/homedetails/2987-W-Jordanelle-View-Dr-Park-City-UT-84060/2062964950_zpid/
"2987 W Jordanelle Way, Park City, UT 84060",7,10.0,11375,"$11,995,000",0,11995000,1054.5054945054944,https://www.zillow.com/homedetails/2987-W-Jordanelle-Way-Park-City-UT-84060/2062964649_zpid/
"186 White Pine Ct, Park City, UT 84060",6,10.0,9645,"$14,870,000",0,14870000,1541.7314670813894,https://www.zillow.com/homedetails/186-White-Pine-Ct-Park-City-UT-84060/2061133010_zpid/
"58 White Pine Ct, Park City, UT 84060",9,8.0,10688,"$14,995,000",0,14995000,1402.9752994011976,https://www.zillow.com/homedetails/58-White-Pine-Ct-Park-City-UT-84060/2061834162_zpid/
"8272 E Left Fork Hobble Creek Rd, Springville, UT 84663",6,13.0,50738,"$17,500,000",0,17500000,344.9091410776932,https://www.zillow.com/homedetails/8272-E-Left-Fork-Hobble-Creek-Rd-Springville-UT-84663/247989711_zpid/
"7948 Red Tail Ct, Heber City, UT 84060",6,8.0,10888,"$22,000,000",0,22000000,2020.5731080088171,https://www.zillow.com/homedetails/7948-Red-Tail-Ct-Heber-City-UT-84060/68851239_zpid/
